Real: 1.55589	Estimated: 3.19753	cutvector: 933 	cutvector: 1024 
Real: 0.374978	Estimated: 0.204462	cutvector: 936 	cutvector: 1024 
Real: 0.360163	Estimated: 0.289524	cutvector: 894 	cutvector: 1024 
Real: 0.467705	Estimated: 0.306916	cutvector: 940 	cutvector: 1024 
Real: 0.350184	Estimated: 0.306146	cutvector: 876 	cutvector: 1024 
Real: 0.37527	Estimated: 0.312574	cutvector: 940 	cutvector: 1024 
Real: 0.45972	Estimated: 0.313056	cutvector: 880 	cutvector: 1024 
Real: 0.444579	Estimated: 0.31126	cutvector: 84 	cutvector: 1024 
Real: 0.417137	Estimated: 0.30957	cutvector: 256 	cutvector: 1024 
Real: 0.363334	Estimated: 0.259646	cutvector: 84 	cutvector: 1024 
Real: 0.539079	Estimated: 0.265353	cutvector: 84 	cutvector: 1024 
Real: 0.402536	Estimated: 0.282155	cutvector: 84 	cutvector: 1024 
Real: 0.480834	Estimated: 0.297354	cutvector: 84 	cutvector: 1024 
Real: 0.439791	Estimated: 0.314456	cutvector: 84 	cutvector: 1024 
Real: 0.454532	Estimated: 0.327245	cutvector: 216 	cutvector: 1024 
Real: 0.375857	Estimated: 0.328675	cutvector: 720 	cutvector: 1024 
Real: 0.411699	Estimated: 0.342612	cutvector: 909 	cutvector: 1024 
Real: 0.423155	Estimated: 0.35242	cutvector: 940 	cutvector: 1024 
Real: 0.447586	Estimated: 0.351659	cutvector: 940 	cutvector: 1024 
Real: 0.447892	Estimated: 0.340639	cutvector: 84 	cutvector: 1024 
Real: 0.342723	Estimated: 0.359227	cutvector: 940 	cutvector: 1024 
Real: 0.371064	Estimated: 0.357146	cutvector: 940 	cutvector: 1024 
Real: 0.307159	Estimated: 0.338931	cutvector: 940 	cutvector: 1024 
Real: 0.370977	Estimated: 0.325965	cutvector: 940 	cutvector: 1024 
Real: 0.428751	Estimated: 0.304153	cutvector: 332 	cutvector: 1024 
Real: 0.389675	Estimated: 0.308066	cutvector: 940 	cutvector: 1024 
Real: 0.441055	Estimated: 0.327007	cutvector: 940 	cutvector: 1024 
