Real: 25.7539	Estimated: 3.19753	cutvector: 933 	cutvector: 1024 
Real: 5.7585	Estimated: 4.65291	cutvector: 940 	cutvector: 1024 
Real: 6.16912	Estimated: 4.48589	cutvector: 857 	cutvector: 1024 
Real: 4.77423	Estimated: 4.10584	cutvector: 788 	cutvector: 1024 
Real: 4.59123	Estimated: 4.00648	cutvector: 709 	cutvector: 1024 
Real: 4.35046	Estimated: 3.99358	cutvector: 706 	cutvector: 1024 
Real: 4.60402	Estimated: 4.00682	cutvector: 691 	cutvector: 1024 
Real: 4.53444	Estimated: 3.98075	cutvector: 686 	cutvector: 1024 
Real: 4.57033	Estimated: 4.08299	cutvector: 740 	cutvector: 1024 
Real: 4.33684	Estimated: 4.05601	cutvector: 694 	cutvector: 1024 
Real: 4.55296	Estimated: 4.01551	cutvector: 701 	cutvector: 1024 
Real: 4.34512	Estimated: 4.00894	cutvector: 696 	cutvector: 1024 
Real: 4.55117	Estimated: 4.07173	cutvector: 695 	cutvector: 1024 
Real: 4.41846	Estimated: 4.0462	cutvector: 688 	cutvector: 1024 
Real: 4.76386	Estimated: 4.06862	cutvector: 685 	cutvector: 1024 
Real: 4.29716	Estimated: 4.15088	cutvector: 713 	cutvector: 1024 
Real: 4.51133	Estimated: 4.19928	cutvector: 707 	cutvector: 1024 
Real: 4.43446	Estimated: 4.12649	cutvector: 690 	cutvector: 1024 
Real: 4.65926	Estimated: 4.17219	cutvector: 691 	cutvector: 1024 
Real: 4.31666	Estimated: 4.21017	cutvector: 701 	cutvector: 1024 
Real: 4.53559	Estimated: 4.21603	cutvector: 697 	cutvector: 1024 
Real: 4.37445	Estimated: 4.21284	cutvector: 698 	cutvector: 1024 
Real: 4.69555	Estimated: 4.21477	cutvector: 696 	cutvector: 1024 
Real: 4.40049	Estimated: 4.19242	cutvector: 694 	cutvector: 1024 
Real: 4.63183	Estimated: 4.1833	cutvector: 688 	cutvector: 1024 
Real: 4.38051	Estimated: 4.14692	cutvector: 688 	cutvector: 1024 
Real: 4.7441	Estimated: 4.13465	cutvector: 682 	cutvector: 1024 
Real: 4.19491	Estimated: 4.2069	cutvector: 714 	cutvector: 1024 
Real: 5.02868	Estimated: 4.1521	cutvector: 774 	cutvector: 1024 
Real: 4.83235	Estimated: 4.10655	cutvector: 776 	cutvector: 1024 
Real: 5.06329	Estimated: 4.39124	cutvector: 675 	cutvector: 1024 
Real: 4.47505	Estimated: 4.49368	cutvector: 681 	cutvector: 1024 
Real: 5.28776	Estimated: 4.57349	cutvector: 844 	cutvector: 1024 
Real: 4.92938	Estimated: 4.62843	cutvector: 835 	cutvector: 1024 
Real: 4.90653	Estimated: 4.45765	cutvector: 780 	cutvector: 1024 
Real: 5.02762	Estimated: 4.46117	cutvector: 775 	cutvector: 1024 
Real: 4.50218	Estimated: 4.3994	cutvector: 750 	cutvector: 1024 
Real: 5.04681	Estimated: 4.45183	cutvector: 783 	cutvector: 1024 
Real: 4.92217	Estimated: 4.42915	cutvector: 761 	cutvector: 1024 
Real: 4.77771	Estimated: 4.5208	cutvector: 794 	cutvector: 1024 
Real: 4.57778	Estimated: 4.32655	cutvector: 717 	cutvector: 1024 
Real: 4.33495	Estimated: 4.09185	cutvector: 703 	cutvector: 1024 
Real: 4.61643	Estimated: 4.12304	cutvector: 696 	cutvector: 1024 
Real: 4.39041	Estimated: 4.07702	cutvector: 691 	cutvector: 1024 
Real: 4.55107	Estimated: 4.16345	cutvector: 698 	cutvector: 1024 
Real: 4.36538	Estimated: 4.09231	cutvector: 691 	cutvector: 1024 
Real: 4.73467	Estimated: 4.10618	cutvector: 687 	cutvector: 1024 
Real: 5.06399	Estimated: 4.08081	cutvector: 867 	cutvector: 1024 
Real: 4.91778	Estimated: 4.14351	cutvector: 712 	cutvector: 1024 
Real: 4.81271	Estimated: 4.10816	cutvector: 773 	cutvector: 1024 
Real: 4.72246	Estimated: 4.28221	cutvector: 746 	cutvector: 1024 
Real: 4.26902	Estimated: 4.48668	cutvector: 729 	cutvector: 1024 
Real: 4.84945	Estimated: 4.24867	cutvector: 791 	cutvector: 1024 
Real: 4.54277	Estimated: 4.22568	cutvector: 747 	cutvector: 1024 
Real: 4.72126	Estimated: 4.38616	cutvector: 685 	cutvector: 1024 
Real: 4.30256	Estimated: 4.43645	cutvector: 701 	cutvector: 1024 
Real: 4.80862	Estimated: 4.04924	cutvector: 806 	cutvector: 1024 
Real: 4.84907	Estimated: 4.07827	cutvector: 807 	cutvector: 1024 
Real: 4.87257	Estimated: 4.11341	cutvector: 786 	cutvector: 1024 
Real: 4.95502	Estimated: 4.13574	cutvector: 766 	cutvector: 1024 
Real: 4.78058	Estimated: 4.22659	cutvector: 801 	cutvector: 1024 
Real: 4.97626	Estimated: 4.21544	cutvector: 758 	cutvector: 1024 
Real: 4.70423	Estimated: 4.29112	cutvector: 780 	cutvector: 1024 
Real: 4.55779	Estimated: 4.23326	cutvector: 727 	cutvector: 1024 
Real: 4.41286	Estimated: 4.17596	cutvector: 755 	cutvector: 1024 
Real: 4.83424	Estimated: 4.24081	cutvector: 767 	cutvector: 1024 
Real: 4.72266	Estimated: 4.30195	cutvector: 779 	cutvector: 1024 
Real: 4.34658	Estimated: 4.28635	cutvector: 741 	cutvector: 1024 
Real: 4.77306	Estimated: 4.24868	cutvector: 769 	cutvector: 1024 
Real: 4.78433	Estimated: 4.31554	cutvector: 784 	cutvector: 1024 
Real: 4.54615	Estimated: 4.267	cutvector: 732 	cutvector: 1024 
