Real: 19.3075	Estimated: 3.57952	cutvector: 716 	cutvector: 940 	cutvector: 1024 
Real: 2.1158	Estimated: 2.64073	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.12092	Estimated: 2.57686	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.14636	Estimated: 2.48766	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.13432	Estimated: 2.44714	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.09465	Estimated: 2.41894	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.70236	Estimated: 2.39642	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.15122	Estimated: 2.38241	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.10816	Estimated: 2.37549	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.1169	Estimated: 2.36562	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.13306	Estimated: 2.3607	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.09494	Estimated: 2.35568	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.10543	Estimated: 2.33575	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.12004	Estimated: 2.3252	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.14322	Estimated: 2.3203	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.08309	Estimated: 2.32182	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.99559	Estimated: 2.30764	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.13305	Estimated: 2.43173	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.09051	Estimated: 2.33653	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.11306	Estimated: 2.29381	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.10616	Estimated: 2.32536	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.14056	Estimated: 2.30364	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.08847	Estimated: 2.30488	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.09926	Estimated: 2.29535	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.07923	Estimated: 2.29058	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.11302	Estimated: 2.28454	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.18623	Estimated: 2.28371	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.07792	Estimated: 2.30293	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.13767	Estimated: 2.29297	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.10049	Estimated: 2.2976	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.12493	Estimated: 2.29244	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.09112	Estimated: 2.29366	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.1024	Estimated: 2.28559	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.1107	Estimated: 2.28775	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.11451	Estimated: 2.28348	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.10206	Estimated: 2.28329	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.11814	Estimated: 2.27777	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 2.12074	Estimated: 2.28055	cutvector: 856 	cutvector: 940 	cutvector: 1024 
