Real: 8.20799	Estimated: 0.26784	cutvector: 640 
Real: 2.36454	Estimated: 4.34598	cutvector: 640 
Real: 2.15869	Estimated: 2.80946	cutvector: 640 
Real: 2.5014	Estimated: 2.47097	cutvector: 640 
Real: 2.24701	Estimated: 2.39905	cutvector: 640 
Real: 2.16903	Estimated: 2.27277	cutvector: 640 
Real: 2.23098	Estimated: 2.21904	cutvector: 640 
Real: 2.14987	Estimated: 2.16293	cutvector: 640 
Real: 2.23777	Estimated: 2.1249	cutvector: 640 
Real: 2.27652	Estimated: 2.10816	cutvector: 640 
Real: 2.79102	Estimated: 2.1141	cutvector: 640 
Real: 2.30055	Estimated: 2.10973	cutvector: 640 
Real: 2.17915	Estimated: 2.11613	cutvector: 640 
Real: 2.20473	Estimated: 2.09159	cutvector: 640 
Real: 2.23313	Estimated: 2.08154	cutvector: 640 
Real: 2.2357	Estimated: 2.08987	cutvector: 640 
Real: 2.25568	Estimated: 2.06675	cutvector: 640 
Real: 2.23444	Estimated: 2.07943	cutvector: 640 
Real: 2.25989	Estimated: 2.05816	cutvector: 640 
Real: 2.82804	Estimated: 2.07684	cutvector: 640 
Real: 2.22717	Estimated: 2.08341	cutvector: 640 
Real: 2.18732	Estimated: 2.09256	cutvector: 640 
Real: 2.30332	Estimated: 2.07065	cutvector: 640 
Real: 2.1826	Estimated: 2.09857	cutvector: 640 
Real: 2.17449	Estimated: 2.08375	cutvector: 640 
Real: 2.24315	Estimated: 2.08464	cutvector: 640 
Real: 2.29292	Estimated: 2.07923	cutvector: 640 
Real: 2.83331	Estimated: 2.09032	cutvector: 640 
Real: 2.33045	Estimated: 2.10746	cutvector: 640 
Real: 2.00308	Estimated: 2.1136	cutvector: 640 
Real: 2.76454	Estimated: 2.12795	cutvector: 640 
Real: 2.88817	Estimated: 2.10625	cutvector: 640 
