Real: 0.777084	Estimated: 3.19753	cutvector: 933 	cutvector: 1024 
Real: 0.170635	Estimated: 0.151692	cutvector: 940 	cutvector: 1024 
Real: 0.157659	Estimated: 0.154635	cutvector: 894 	cutvector: 1024 
Real: 0.160922	Estimated: 0.144076	cutvector: 323 	cutvector: 1024 
Real: 0.213656	Estimated: 0.135597	cutvector: 84 	cutvector: 1024 
Real: 0.179775	Estimated: 0.148822	cutvector: 940 	cutvector: 1024 
Real: 0.403282	Estimated: 0.14556	cutvector: 940 	cutvector: 1024 
Real: 0.177537	Estimated: 0.142281	cutvector: 940 	cutvector: 1024 
Real: 0.181046	Estimated: 0.143658	cutvector: 940 	cutvector: 1024 
Real: 0.179004	Estimated: 0.143734	cutvector: 940 	cutvector: 1024 
Real: 0.208168	Estimated: 0.143605	cutvector: 84 	cutvector: 1024 
Real: 0.153322	Estimated: 0.153252	cutvector: 940 	cutvector: 1024 
Real: 0.504758	Estimated: 0.147744	cutvector: 327 	cutvector: 1024 
Real: 0.190108	Estimated: 0.160619	cutvector: 671 	cutvector: 1024 
Real: 0.191723	Estimated: 0.168197	cutvector: 940 	cutvector: 1024 
Real: 0.159491	Estimated: 0.162035	cutvector: 940 	cutvector: 1024 
Real: 0.171627	Estimated: 0.157243	cutvector: 940 	cutvector: 1024 
Real: 0.181955	Estimated: 0.153914	cutvector: 687 	cutvector: 1024 
Real: 0.178151	Estimated: 0.155385	cutvector: 940 	cutvector: 1024 
Real: 0.224007	Estimated: 0.147359	cutvector: 84 	cutvector: 1024 
Real: 0.16917	Estimated: 0.164141	cutvector: 683 	cutvector: 1024 
Real: 0.185836	Estimated: 0.161191	cutvector: 693 	cutvector: 1024 
Real: 0.167583	Estimated: 0.160583	cutvector: 709 	cutvector: 1024 
Real: 0.165275	Estimated: 0.162349	cutvector: 753 	cutvector: 1024 
Real: 0.177976	Estimated: 0.159439	cutvector: 940 	cutvector: 1024 
Real: 0.163484	Estimated: 0.160179	cutvector: 940 	cutvector: 1024 
Real: 0.155569	Estimated: 0.155419	cutvector: 940 	cutvector: 1024 
Real: 0.197619	Estimated: 0.14721	cutvector: 940 	cutvector: 1024 
Real: 0.18899	Estimated: 0.151721	cutvector: 940 	cutvector: 1024 
Real: 0.23934	Estimated: 0.143701	cutvector: 241 	cutvector: 1024 
Real: 0.167633	Estimated: 0.161584	cutvector: 940 	cutvector: 1024 
Real: 0.173035	Estimated: 0.16191	cutvector: 940 	cutvector: 1024 
Real: 0.192809	Estimated: 0.158975	cutvector: 940 	cutvector: 1024 
Real: 0.184611	Estimated: 0.158045	cutvector: 940 	cutvector: 1024 
Real: 0.193382	Estimated: 0.154166	cutvector: 940 	cutvector: 1024 
Real: 0.16045	Estimated: 0.155215	cutvector: 940 	cutvector: 1024 
Real: 0.147145	Estimated: 0.149264	cutvector: 940 	cutvector: 1024 
Real: 0.166589	Estimated: 0.144707	cutvector: 940 	cutvector: 1024 
Real: 0.177268	Estimated: 0.14277	cutvector: 940 	cutvector: 1024 
Real: 0.196508	Estimated: 0.142948	cutvector: 940 	cutvector: 1024 
Real: 0.205863	Estimated: 0.150566	cutvector: 940 	cutvector: 1024 
Real: 0.200982	Estimated: 0.150313	cutvector: 940 	cutvector: 1024 
Real: 0.212795	Estimated: 0.154543	cutvector: 84 	cutvector: 1024 
Real: 0.214973	Estimated: 0.177453	cutvector: 338 	cutvector: 1024 
Real: 0.216767	Estimated: 0.183792	cutvector: 338 	cutvector: 1024 
Real: 0.237466	Estimated: 0.187306	cutvector: 84 	cutvector: 1024 
Real: 0.185821	Estimated: 0.188268	cutvector: 84 	cutvector: 1024 
Real: 0.189207	Estimated: 0.185222	cutvector: 933 	cutvector: 1024 
Real: 0.173173	Estimated: 0.181862	cutvector: 940 	cutvector: 1024 
Real: 0.189992	Estimated: 0.173656	cutvector: 940 	cutvector: 1024 
Real: 0.178194	Estimated: 0.16941	cutvector: 940 	cutvector: 1024 
Real: 0.179664	Estimated: 0.169104	cutvector: 932 	cutvector: 1024 
Real: 0.18719	Estimated: 0.17378	cutvector: 940 	cutvector: 1024 
Real: 0.180122	Estimated: 0.167662	cutvector: 939 	cutvector: 1024 
Real: 0.172122	Estimated: 0.169584	cutvector: 940 	cutvector: 1024 
Real: 0.186231	Estimated: 0.163069	cutvector: 940 	cutvector: 1024 
Real: 0.154398	Estimated: 0.163745	cutvector: 940 	cutvector: 1024 
Real: 0.176458	Estimated: 0.156917	cutvector: 940 	cutvector: 1024 
Real: 0.166096	Estimated: 0.151468	cutvector: 940 	cutvector: 1024 
Real: 0.181462	Estimated: 0.153778	cutvector: 940 	cutvector: 1024 
Real: 0.191921	Estimated: 0.152367	cutvector: 940 	cutvector: 1024 
Real: 0.184681	Estimated: 0.146751	cutvector: 895 	cutvector: 1024 
Real: 0.153563	Estimated: 0.165881	cutvector: 940 	cutvector: 1024 
Real: 0.177543	Estimated: 0.157938	cutvector: 940 	cutvector: 1024 
Real: 0.195873	Estimated: 0.216347	cutvector: 940 	cutvector: 1024 
Real: 0.243616	Estimated: 0.03103	cutvector: 84 	cutvector: 1024 
Real: 0.183021	Estimated: 0.210039	cutvector: 235 	cutvector: 1024 
Real: 0.183789	Estimated: 0.160347	cutvector: 940 	cutvector: 1024 
