Real: 8.38489	Estimated: 1.04968	cutvector: 640 
Real: 2.55111	Estimated: 4.58545	cutvector: 640 
Real: 2.36447	Estimated: 4.08604	cutvector: 640 
Real: 2.40487	Estimated: 3.29509	cutvector: 640 
Real: 2.41576	Estimated: 3.07547	cutvector: 640 
Real: 2.46603	Estimated: 2.92329	cutvector: 640 
Real: 2.45548	Estimated: 2.80237	cutvector: 640 
Real: 2.40689	Estimated: 2.39033	cutvector: 640 
Real: 2.42836	Estimated: 2.39307	cutvector: 640 
Real: 2.46289	Estimated: 2.38974	cutvector: 640 
Real: 2.51771	Estimated: 2.39722	cutvector: 640 
Real: 2.42401	Estimated: 2.41023	cutvector: 640 
Real: 2.46125	Estimated: 2.40957	cutvector: 640 
Real: 2.46602	Estimated: 2.41748	cutvector: 640 
Real: 2.4269	Estimated: 2.42336	cutvector: 640 
Real: 2.39191	Estimated: 2.41737	cutvector: 640 
Real: 2.44978	Estimated: 2.42514	cutvector: 640 
Real: 2.42767	Estimated: 2.41512	cutvector: 640 
Real: 2.43258	Estimated: 2.44477	cutvector: 640 
Real: 2.48268	Estimated: 2.4567	cutvector: 640 
Real: 2.38218	Estimated: 2.45133	cutvector: 640 
Real: 2.38231	Estimated: 2.43929	cutvector: 640 
Real: 2.45936	Estimated: 2.43487	cutvector: 640 
Real: 2.45213	Estimated: 2.43713	cutvector: 640 
Real: 2.46573	Estimated: 2.43759	cutvector: 640 
Real: 2.48222	Estimated: 2.43726	cutvector: 640 
Real: 2.34411	Estimated: 2.45597	cutvector: 640 
Real: 2.46087	Estimated: 2.43735	cutvector: 640 
Real: 2.39999	Estimated: 2.43861	cutvector: 640 
Real: 2.4226	Estimated: 2.43716	cutvector: 640 
Real: 2.46913	Estimated: 2.43679	cutvector: 640 
Real: 2.47652	Estimated: 2.43938	cutvector: 640 
Real: 2.46239	Estimated: 2.44935	cutvector: 640 
