Real: 42.0103	Estimated: 3.57952	cutvector: 716 	cutvector: 940 	cutvector: 1024 
Real: 10.6915	Estimated: 5.47448	cutvector: 856 	cutvector: 940 	cutvector: 1024 
Real: 8.06632	Estimated: 5.96584	cutvector: 702 	cutvector: 940 	cutvector: 1024 
Real: 7.5216	Estimated: 5.99603	cutvector: 670 	cutvector: 940 	cutvector: 1024 
Real: 7.11633	Estimated: 5.98966	cutvector: 653 	cutvector: 938 	cutvector: 1024 
Real: 8.60935	Estimated: 6.43707	cutvector: 685 	cutvector: 940 	cutvector: 1024 
Real: 6.50384	Estimated: 6.19751	cutvector: 639 	cutvector: 880 	cutvector: 1024 
Real: 8.04778	Estimated: 6.44815	cutvector: 662 	cutvector: 868 	cutvector: 1024 
Real: 7.57832	Estimated: 6.54089	cutvector: 672 	cutvector: 880 	cutvector: 1024 
Real: 8.10192	Estimated: 6.80795	cutvector: 716 	cutvector: 940 	cutvector: 1024 
Real: 7.11323	Estimated: 6.53158	cutvector: 661 	cutvector: 940 	cutvector: 1024 
Real: 6.62058	Estimated: 6.3859	cutvector: 641 	cutvector: 940 	cutvector: 1024 
Real: 7.30739	Estimated: 6.35136	cutvector: 639 	cutvector: 936 	cutvector: 1024 
Real: 8.11488	Estimated: 7.5976	cutvector: 725 	cutvector: 940 	cutvector: 1024 
Real: 7.04592	Estimated: 6.74846	cutvector: 644 	cutvector: 940 	cutvector: 1024 
Real: 7.06204	Estimated: 6.74605	cutvector: 650 	cutvector: 940 	cutvector: 1024 
Real: 7.06831	Estimated: 6.64487	cutvector: 633 	cutvector: 938 	cutvector: 1024 
Real: 8.07427	Estimated: 7.29145	cutvector: 680 	cutvector: 940 	cutvector: 1024 
Real: 7.48967	Estimated: 6.73983	cutvector: 633 	cutvector: 935 	cutvector: 1024 
Real: 7.17453	Estimated: 6.53249	cutvector: 600 	cutvector: 901 	cutvector: 1024 
Real: 7.47639	Estimated: 6.50629	cutvector: 591 	cutvector: 887 	cutvector: 1024 
Real: 7.23853	Estimated: 6.77262	cutvector: 611 	cutvector: 929 	cutvector: 1024 
Real: 7.19278	Estimated: 7.53804	cutvector: 746 	cutvector: 940 	cutvector: 1024 
Real: 7.84012	Estimated: 7.2373	cutvector: 708 	cutvector: 873 	cutvector: 1024 
Real: 7.43168	Estimated: 7.22877	cutvector: 689 	cutvector: 887 	cutvector: 1024 
Real: 7.92737	Estimated: 7.18052	cutvector: 712 	cutvector: 921 	cutvector: 1024 
Real: 7.73995	Estimated: 7.16549	cutvector: 694 	cutvector: 930 	cutvector: 1024 
Real: 7.80109	Estimated: 7.16479	cutvector: 695 	cutvector: 938 	cutvector: 1024 
Real: 8.19568	Estimated: 7.2781	cutvector: 700 	cutvector: 940 	cutvector: 1024 
Real: 6.6486	Estimated: 7.11462	cutvector: 644 	cutvector: 926 	cutvector: 1024 
Real: 8.289	Estimated: 7.57196	cutvector: 484 	cutvector: 839 	cutvector: 1024 
Real: 7.45332	Estimated: 7.02751	cutvector: 750 	cutvector: 940 	cutvector: 1024 
Real: 7.60072	Estimated: 6.81235	cutvector: 698 	cutvector: 938 	cutvector: 1024 
Real: 6.50226	Estimated: 6.99721	cutvector: 638 	cutvector: 920 	cutvector: 1024 
Real: 6.73475	Estimated: 6.84939	cutvector: 641 	cutvector: 912 	cutvector: 1024 
Real: 6.60761	Estimated: 6.76356	cutvector: 641 	cutvector: 905 	cutvector: 1024 
Real: 6.15403	Estimated: 6.66554	cutvector: 644 	cutvector: 913 	cutvector: 1024 
Real: 6.09264	Estimated: 6.54133	cutvector: 649 	cutvector: 909 	cutvector: 1024 
Real: 6.41346	Estimated: 6.41691	cutvector: 649 	cutvector: 922 	cutvector: 1024 
Real: 6.20621	Estimated: 6.34276	cutvector: 651 	cutvector: 921 	cutvector: 1024 
Real: 6.27031	Estimated: 6.29741	cutvector: 653 	cutvector: 919 	cutvector: 1024 
Real: 6.0129	Estimated: 6.23145	cutvector: 656 	cutvector: 923 	cutvector: 1024 
Real: 6.1499	Estimated: 6.1981	cutvector: 664 	cutvector: 922 	cutvector: 1024 
Real: 6.0765	Estimated: 6.17359	cutvector: 668 	cutvector: 923 	cutvector: 1024 
Real: 6.31719	Estimated: 6.0387	cutvector: 660 	cutvector: 940 	cutvector: 1024 
Real: 6.98105	Estimated: 5.70662	cutvector: 603 	cutvector: 940 	cutvector: 1024 
Real: 10.0125	Estimated: 2.06745	cutvector: 84 	cutvector: 168 	cutvector: 1024 
Real: 10.2835	Estimated: 2.05221	cutvector: 84 	cutvector: 168 	cutvector: 1024 
Real: 10.1307	Estimated: 2.00941	cutvector: 84 	cutvector: 168 	cutvector: 1024 
Real: 10.4057	Estimated: 1.95993	cutvector: 84 	cutvector: 168 	cutvector: 1024 
Real: 10.2637	Estimated: 1.94645	cutvector: 84 	cutvector: 168 	cutvector: 1024 
Real: 10.4854	Estimated: 3.18826	cutvector: 84 	cutvector: 168 	cutvector: 1024 
Real: 11.6664	Estimated: 4.50318	cutvector: 84 	cutvector: 168 	cutvector: 1024 
Real: 7.1717	Estimated: 5.48678	cutvector: 686 	cutvector: 940 	cutvector: 1024 
Real: 7.01255	Estimated: 5.58601	cutvector: 676 	cutvector: 940 	cutvector: 1024 
Real: 7.15683	Estimated: 5.75239	cutvector: 680 	cutvector: 899 	cutvector: 1024 
Real: 6.86763	Estimated: 5.8388	cutvector: 683 	cutvector: 936 	cutvector: 1024 
Real: 7.2096	Estimated: 6.19514	cutvector: 692 	cutvector: 921 	cutvector: 1024 
Real: 6.98938	Estimated: 6.50331	cutvector: 720 	cutvector: 835 	cutvector: 1024 
